v1,v2,v3_cleaned,key_column
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,go jurong point crazy available bugis n great world la e buffet cine got amore wat
ham,Ok lar... Joking wif u oni...,ok lar joking wif u oni,ok lar joking wif u oni
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005 text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,free entry 2 wkly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry question std txt rate c apply 08452810075over18
ham,U dun say so early hor... U c already then say...,u dun say so early hor u c already then say,u dun say early hor u c already say
ham,"Nah I don't think he goes to usf, he lives around here though",nah i don t think he goes to usf he lives around here though,nah think goes usf lives around though
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",freemsg hey there darling it s been 3 week s now and no word back i d like some fun you up for it still tb ok xxx std chgs to send 1 50 to rcv,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send 1 50 rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.,even my brother is not like to speak with me they treat me like aids patent,even brother like speak treat like aids patent
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,winner as a valued network customer you have been selected to receivea 900 prize reward to claim call claim code kl341 valid 12 hours only,winner valued network customer selected receivea 900 prize reward claim call claim code kl341 valid 12 hours
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,had your mobile 11 months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,mobile 11 months u r entitled update latest colour mobiles camera free call mobile update co free
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",i m gonna be home soon and i don t want to talk about this stuff anymore tonight k i ve cried enough today,gonna home soon want talk stuff anymore tonight k cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",six chances to win cash from 100 to 20 000 pounds txt csh11 and send to 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info,six chances win cash 100 20 000 pounds txt csh11 send 87575 cost 150p day 6days 16 tsandcs apply reply hl 4 info
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent you have won a 1 week free membership in our 100 000 prize jackpot txt the word claim to no 81010 t c lccltd pobox 4403ldnw1a7rw18,urgent 1 week free membership 100 000 prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,i ve been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,i have a date on sunday with will,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here xxxmobilemovieclub com n qjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),oh k i m watching here,oh k watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember how 2 spell his name yes i did he v naughty make until i v wet,eh u remember 2 spell name yes v naughty make v wet
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,fine if that s the way u feel that s the way its gota b,fine way u feel way gota b
